,0
0,-0.641832936707419
1,-0.913480203005023
2,-0.937277760900339
3,-0.9510819938331943
4,-0.9416746957327295
5,-0.9355043721140404
6,-0.9637977930506628
7,-0.9313411451985936
8,-0.9521232485724751
9,-0.6768752041825927
10,-0.636378006350517
11,-0.5797190182968569
12,-0.03482576047230609
13,0.19854241188312116
14,-0.0031453019535506144
15,-0.42208758558231496
16,-0.2349220482041062
17,-0.60677633993157
18,-0.846599634257182
19,-0.864382283722401
20,-0.8506162019771913
21,-0.8465246190085142
22,-0.8697129000363562
23,-0.8927402461179732
24,-0.6412213764957372
25,-0.9164066018763626
26,-0.9439866168880385
27,-0.9485034916264796
28,-0.9498984316135584
29,-0.9303347193569835
30,-0.9723532139320565
31,-0.9180195972910233
32,-0.9352511850954573
33,-0.636541471204929
34,-0.6026871206705919
35,-0.3489690162136405
36,0.05592504373916668
37,0.15052137863987228
38,-0.17779317829625668
39,0.035908287404221396
40,-0.02994924400083448
41,-0.5411846010560055
42,-0.8381375954392962
43,-0.8596969701021178
44,-0.8353151205906016
45,-0.8375256842619484
46,-0.8782485489895089
47,-0.8907573125025553
48,-0.6709528842609955
49,-0.9217040862714265
50,-0.9358722566279001
51,-0.9494355777236074
52,-0.9463115940182573
53,-0.9358041759024164
54,-0.9613563884682292
55,-0.9573336854375191
56,-0.9791984902176089
57,-0.6755706250286476
58,-0.5690378519243137
59,-0.5720931238912801
60,-0.29676528535439617
61,-0.009135501290082431
62,0.22414434522243723
63,-0.30935417171446516
64,-0.12109613777582978
65,-0.2760842749727604
66,-0.8132750250099191
67,-0.8487424912080257
68,-0.8547562013372931
69,-0.8350456288762516
70,-0.87123867470436
71,-0.8975915599997076
72,-0.6335027290630831
73,-0.9078882762996754
74,-0.9474594057843091
75,-0.9453463264776805
76,-0.9451037503277003
77,-0.9340461119146204
78,-0.965567641859224
79,-0.9164201365124265
80,-0.9477501514657523
81,-0.6165228694412752
82,-0.6660041991536713
83,-0.3427649090989183
84,-0.4139849309119575
85,-0.0062062765243453555
86,-0.056751626508282985
87,-0.3445686256287246
88,0.07221912465862815
89,-0.47772710178736566
90,-0.8420765244940686
91,-0.853394026432014
92,-0.8516781717542665
93,-0.852482759135374
94,-0.8691363429563479
95,-0.8900885115747088
96,-0.6402049133113181
97,-0.9199024814168573
98,-0.9434586395844543
99,-0.943563410569558
100,-0.9451417699374991
101,-0.9285760526222602
102,-0.9829733754073843
103,-0.9550952813656788
104,-0.9475886682677074
105,-0.6852708712588697
106,-0.5749645708800393
107,-0.8476947381419672
108,-0.17725731554630342
109,0.01988851848846991
110,-0.04944350589110798
111,-0.6955996227288312
112,0.02595798714145303
113,-0.49986194803704087
114,-0.7792327187569842
115,-0.851884056500414
116,-0.8570292704808848
117,-0.835189537803527
118,-0.8730884112410965
119,-0.8909947579256826
120,-0.6493560136437102
121,-0.923136533747394
122,-0.9411800649357915
123,-0.9467281516666942
124,-0.9456875359605001
125,-0.9303530443286102
126,-0.9784191676536116
127,-0.9420413924334226
128,-0.937205679679617
129,-0.6784603245964402
130,-0.6099128426556042
131,-0.4934888271580764
132,-0.07871838601468469
133,-0.007693146108354654
134,0.0390369137053932
135,0.08319087276722371
136,-0.15666454872543625
137,-0.3225145888062343
138,-0.8776974597055361
139,-0.8531622810607854
140,-0.8534648286588141
141,-0.8432248123907142
142,-0.8773909773835937
143,-0.894559646377218
144,-0.6606451385408347
145,-0.9132227474026681
146,-0.9382252741427608
147,-0.9428411353118665
148,-0.9446789526865849
149,-0.9321517004745091
150,-0.9731357227487591
151,-0.9304733796982682
152,-0.9394432866843401
153,-0.6105834410812558
154,-0.6416052932752458
155,-0.5436914077426142
156,0.12701845504221665
157,-0.033333593325259446
158,0.02340305077589818
159,-0.16320265189602196
160,-0.2888927248085328
161,-0.4606044906476393
162,-0.8880093668080242
163,-0.8576034216229654
164,-0.8419799988484209
165,-0.8492408395053502
166,-0.8862472567390651
167,-0.8892294343941947
168,-0.6496776170984103
169,-0.9207130238367235
170,-0.94359154310923
171,-0.9472334900014355
172,-0.9456879469633133
173,-0.931321437935254
174,-0.9801830440289803
175,-0.9013951969792998
176,-0.9272325214407382
177,-0.6995569763251049
178,-0.5902472000111656
179,-0.38746521246709953
180,-0.48616719134462527
181,0.05143186039076511
182,-0.265599252889718
183,-0.28619434268304855
184,0.02148414773769659
185,-0.25008059038037445
186,-0.8176172971921032
187,-0.8579690539027175
188,-0.8464603077064509
189,-0.8463332903981882
190,-0.8710538811299061
191,-0.8872698743063672
192,-0.6445925858238576
193,-0.9192103920658944
194,-0.942559391043418
195,-0.9476049787223794
196,-0.9452836772612041
197,-0.9338646753108668
198,-0.9824468891375396
199,-0.9559770605422463
200,-0.9745354858167812
201,-0.6474217895965686
202,-0.6912447069442503
203,-0.3246268000137155
204,-0.29854793653143685
205,0.2697687807393004
206,-0.015949739829932384
207,-0.09156733888473526
208,-0.4898472119853005
209,-0.4404682738452119
210,-0.830182987175491
211,-0.8487067038356915
212,-0.8471194245090102
213,-0.844247040524657
214,-0.8734057555276382
215,-0.8883508547268808
